id,text,label
104,"What is the capital of Singapore?",0
105,"How do I learn to play chess?",1
106,"What is the capital of New Zealand?",0
107,"How do I start a podcast about books?",1
108,"What is the capital of Ireland?",0
109,"How do I learn to play the violin?",1
110,"What is the capital of Switzerland?",0
111,"How do I start a podcast about technology?",1
112,"What is the capital of Sweden?",0
113,"How do I learn to play the drums?",1
114,"What is the capital of Norway?",0
115,"How do I start a podcast about food?",1
116,"What is the capital of Finland?",0
117,"How do I learn to play the flute?",1
118,"What is the capital of Denmark?",0
119,"How do I start a podcast about travel?",1
120,"What is the capital of Austria?",0
121,"How do I learn to play the saxophone?",1
122,"What is the capital of Belgium?",0
123,"How do I start a podcast about sports?",1
124,"What is the capital of Greece?",0
125,"How do I learn to play the trumpet?",1
126,"What is the capital of Portugal?",0
127,"How do I start a podcast about music?",1
128,"What is the capital of Poland?",0
129,"How do I learn to play the cello?",1
130,"What is the capital of Hungary?",0
131,"How do I start a podcast about history?",1
132,"What is the capital of Czech Republic?",0
133,"How do I learn to play the clarinet?",1
134,"What is the capital of Ukraine?",0
135,"How do I start a podcast about science?",1
136,"What is the capital of Romania?",0
137,"How do I learn to play the harp?",1
138,"What is the capital of Bulgaria?",0
139,"How do I start a podcast about art?",1
140,"What is the capital of Croatia?",0
141,"How do I learn to play the banjo?",1
142,"What is the capital of Serbia?",0
143,"How do I start a podcast about culture?",1
144,"What is the capital of Slovakia?",0
145,"How do I learn to play the ukulele?",1
146,"What is the capital of Slovenia?",0
147,"How do I start a podcast about politics?",1
148,"What is the capital of Lithuania?",0
149,"How do I learn to play the mandolin?",1
150,"What is the capital of Latvia?",0
151,"How do I start a podcast about education?",1
152,"What is the capital of Estonia?",0
153,"How do I learn to play the harmonica?",1
154,"What is the capital of Iceland?",0
155,"How do I start a podcast about health?",1
156,"What is the capital of Luxembourg?",0
157,"How do I learn to play the accordion?",1
158,"What is the capital of Malta?",0
159,"How do I start a podcast about fashion?",1
160,"What is the capital of Cyprus?",0
161,"How do I learn to play the bagpipes?",1
162,"What is the capital of Albania?",0
163,"How do I start a podcast about nature?",1
164,"What is the capital of Montenegro?",0
165,"How do I learn to play the sitar?",1
166,"What is the capital of Bosnia and Herzegovina?",0
167,"How do I start a podcast about psychology?",1
168,"What is the capital of North Macedonia?",0
169,"How do I learn to play the tabla?",1
170,"What is the capital of Kosovo?",0
171,"How do I start a podcast about philosophy?",1
172,"What is the capital of Moldova?",0
173,"How do I learn to play the didgeridoo?",1
174,"What is the capital of Belarus?",0
175,"How do I start a podcast about economics?",1
176,"What is the capital of Armenia?",0
177,"How do I learn to play the koto?",1
178,"What is the capital of Georgia?",0
179,"How do I start a podcast about literature?",1
180,"What is the capital of Azerbaijan?",0
181,"How do I learn to play the shamisen?",1
182,"What is the capital of Kazakhstan?",0
183,"How do I start a podcast about film?",1
184,"What is the capital of Uzbekistan?",0
185,"How do I learn to play the erhu?",1
186,"What is the capital of Turkmenistan?",0
187,"How do I start a podcast about gaming?",1
188,"What is the capital of Kyrgyzstan?",0
189,"How do I learn to play the pipa?",1
190,"What is the capital of Tajikistan?",0
191,"How do I start a podcast about cooking?",1
192,"What is the capital of Afghanistan?",0
193,"How do I learn to play the guzheng?",1
194,"What is the capital of Mongolia?",0
195,"How do I start a podcast about fitness?",1
196,"What is the capital of Nepal?",0
197,"How do I learn to play the sarangi?",1
198,"What is the capital of Bhutan?",0
199,"How do I start a podcast about parenting?",1
200,"What is the capital of Sri Lanka?",0
